Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,21.5,21.4,21.4,21.3,21.2,21.1,21.3,21.2,21.3,20.9,20.9,21.0
2015,20.9,21.0,21.0,21.0,21.2,21.1,21.1,21.1,21.3,21.5,21.7,21.6
2016,21.3,21.5,21.3,21.3,21.2,21.3,21.2,21.1,21.1,21.0,21.0,21.1
2017,21.0,21.0,20.9,20.8,20.7,20.5,20.4,20.3,20.3,20.0,20.0,20.0
2018,20.0,19.9,19.9,19.9,19.9,19.9,20.0,20.0,20.0,19.9,19.6,19.8
2019,19.6,19.6,19.7,19.7,19.7,19.7,19.6,19.6,19.5,19.7,20.0,19.8
2020,19.9,19.9,19.8,18.2,17.9,17.8,17.5,17.5,17.8,17.7,17.7,17.6
2021,17.9,17.8,17.6,17.7,17.6,17.7,17.9,17.9,17.7,17.7,17.5,17.6
2022,17.6,17.4,17.5,17.7,17.9,17.8,17.9,18.2,18.1,18.0,18.1,18.0
2023,18.1,18.1,18.3,18.2,18.3,18.4,17.9,17.7,17.8,17.4,17.2,17.1
2024,17.2,17.1,16.8,16.9,17.0,16.9(P),,,,,,
