Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,154.8,154.5,154.5,155.5,155.3,155.8,156.3,156.6,157.3,157.4,157.6,158.5
2015,158.7,159.4,158.6,160.1,161.3,162.8,162.9,163.3,163.0,163.8,164.4,164.3
2016,164.5,164.9,165.3,164.6,164.0,163.4,165.5,165.8,165.8,166.4,166.0,166.1
2017,165.5,166.0,166.9,167.9,166.5,168.3,167.4,167.4,168.0,168.6,168.7,169.5
2018,170.5,170.6,171.6,171.0,172.9,172.8,171.8,172.2,172.1,171.7,171.9,172.9
2019,173.3,173.6,173.7,174.1,173.5,172.8,174.1,174.8,175.6,175.0,175.4,175.6
2020,175.5,175.2,171.6,114.8,139.6,152.0,154.8,156.6,157.6,159.1,159.9,159.7
2021,160.4,156.9,161.9,162.3,164.6,167.0,168.4,167.9,168.4,169.6,169.4,170.7
2022,170.2,169.5,169.9,172.2,172.5,173.3,174.4,174.8,175.7,176.2,176.8,176.0
2023,180.6,180.8,180.6,179.5,179.6,179.3,179.2,179.8,180.6,182.7,183.5,183.5
2024,184.8,185.0,184.9,186.4,187.2,185.1(P),,,,,,
