Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,141.5,142.2,142.6,143.3,143.9,144.5,145.0,145.1,145.4,145.6,146.2,146.5
2015,146.6,146.4,145.6,144.0,143.3,142.5,141.6,140.9,140.4,139.4,138.7,137.9
2016,137.3,137.2,135.8,134.5,133.9,133.0,132.7,132.6,132.5,131.8,132.2,131.8
2017,131.0,131.5,131.4,132.0,132.4,133.3,133.8,134.2,134.1,134.3,134.4,134.9
2018,135.3,135.5,136.0,136.6,137.2,138.2,138.2,138.6,139.2,139.6,139.8,139.9
2019,140.6,140.9,140.9,140.8,140.8,140.7,140.5,140.3,139.9,139.0,139.5,139.1
2020,138.6,138.3,138.0,129.6,128.3,127.8,126.9,128.4,128.1,127.8,127.4,127.4
2021,127.7,127.6,128.7,128.0,127.5,128.1,128.7,129.0,129.1,130.1,130.5,130.8
2022,130.9,131.4,132.0,132.1,132.7,132.6,134.2,134.6,135.2,136.1,136.5,136.8
2023,137.6,137.8,138.1,138.7,139.3,139.9,139.1,139.5,139.8,139.6,138.9,140.7
2024,141.4,141.1,140.4,140.0,141.0,141.1(P),,,,,,
