Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,227.2,227.4,227.7,228.2,227.7,228.2,228.2,228.2,227.8,228.3,228.5,229.4
2015,229.5,229.7,229.8,230.4,230.8,231.4,231.8,232.6,232.9,233.1,233.2,233.0
2016,233.7,233.9,234.2,233.4,233.0,232.6,234.0,233.9,233.9,234.0,233.9,233.7
2017,233.1,233.5,233.7,235.1,235.6,236.5,236.1,235.7,236.6,236.5,236.4,236.4
2018,236.8,237.0,237.5,235.8,236.2,236.0,235.9,236.1,236.2,236.4,236.1,236.8
2019,237.6,237.7,238.6,239.7,240.3,240.6,240.8,241.2,241.9,241.9,242.7,243.1
2020,242.5,243.2,242.5,223.6,229.9,232.2,233.1,235.0,235.5,236.6,236.9,237.7
2021,237.2,236.3,238.6,236.4,236.0,236.3,237.3,237.3,236.2,237.4,237.3,237.2
2022,237.8,238.1,238.6,240.3,241.8,243.4,245.0,246.1,247.9,248.5,249.9,251.5
2023,253.2,254.7,255.6,255.0,256.0,257.2,258.1,259.9,260.9,260.0,263.2,265.4
2024,266.5,266.8,269.0,269.7,269.5,269.1(P),,,,,,
