Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,184.6,184.8,185.3,186.4,186.4,186.6,186.8,186.3,185.9,187.0,187.9,188.1
2015,189.6,187.9,187.2,186.5,186.8,185.7,186.0,185.6,184.2,184.9,184.6,185.3
2016,185.1,184.5,183.0,183.6,183.4,182.9,183.2,183.5,184.0,184.2,183.7,183.9
2017,184.8,185.2,186.6,186.8,187.3,188.1,188.7,189.0,189.6,189.6,189.1,189.9
2018,191.3,192.0,193.0,191.4,191.9,193.5,194.6,194.3,194.8,194.6,194.8,194.9
2019,195.3,195.6,196.1,196.7,196.8,196.7,197.3,197.4,197.3,197.2,197.9,197.6
2020,196.3,196.5,195.6,177.7,178.5,180.1,180.4,181.3,182.3,184.3,185.2,186.2
2021,187.0,185.7,189.5,190.3,190.9,191.3,192.1,192.3,192.8,197.2,197.7,198.4
2022,199.7,200.4,201.6,202.6,204.1,202.2,206.3,206.5,208.6,209.7,210.3,209.0
2023,211.6,211.4,211.1,211.6,211.0,209.5,208.1,207.9,209.1,207.8,205.0,206.0
2024,206.7,207.1,206.5,205.7,204.8,204.7(P),,,,,,
