Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,292.4,292.6,293.1,292.8,293.1,294.4,294.7,294.9,295.7,295.7,296.2,297.9
2015,297.9,298.5,298.5,298.9,299.3,300.3,300.4,299.8,299.9,300.2,300.4,300.8
2016,298.4,299.3,299.4,299.8,299.4,298.4,298.4,298.7,297.8,297.4,298.3,296.6
2017,295.7,295.7,295.3,295.5,295.1,295.4,296.1,296.0,296.1,296.0,296.4,295.8
2018,296.8,297.0,297.8,297.9,298.7,299.7,300.0,300.4,299.6,299.2,299.1,298.5
2019,298.9,299.2,299.5,300.3,300.0,300.0,301.8,301.8,303.2,304.2,305.4,306.0
2020,306.2,305.9,306.8,283.3,292.2,301.1,301.8,304.2,307.1,311.0,313.1,312.4
2021,312.6,310.4,312.9,310.9,312.2,312.4,313.2,313.3,314.4,316.7,317.3,318.3
2022,318.8,322.1,321.4,322.5,321.3,319.7,323.2,323.6,325.1,323.0,321.4,322.8
2023,323.5,323.0,322.9,323.3,322.8,322.7,322.0,321.5,321.3,321.0,321.6,321.4
2024,320.0,320.0,320.4,321.6,320.5,320.5(P),,,,,,
