Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,79.3,79.0,79.6,79.9,80.1,80.2,80.2,80.1,80.9,79.7,80.4,81.1
2015,81.2,82.0,82.2,81.5,81.8,82.4,82.7,83.4,84.2,85.5,85.7,86.2
2016,86.6,88.7,88.6,89.3,89.6,89.7,90.3,91.1,91.9,92.5,93.3,93.3
2017,92.1,94.1,95.2,96.4,97.1,98.1,98.8,99.3,100.0,100.7,100.9,102.2
2018,103.1,104.4,104.2,104.0,105.0,105.1,105.8,106.2,106.7,107.1,107.2,107.7
2019,108.5,107.1,108.1,108.6,108.7,109.3,109.9,110.4,110.9,110.8,111.8,111.2
2020,111.4,111.7,111.3,101.5,104.8,106.8,107.6,108.4,108.0,109.5,109.6,109.8
2021,110.5,109.4,110.8,111.5,111.0,110.7,111.0,110.9,111.2,112.2,112.9,113.2
2022,113.3,114.6,114.7,114.7,114.2,114.7,115.5,116.0,116.6,116.2,116.1,116.4
2023,117.4,117.0,116.5,116.6,116.7,116.9,116.7,117.0,117.0,117.7,116.8,117.3
2024,117.3,116.3,114.4,115.4,114.4,114.6(P),,,,,,
