Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,91.8,91.9,91.8,92.2,92.4,92.8,92.6,93.0,93.3,93.2,93.4,93.8
2015,94.1,94.4,94.3,94.7,95.0,94.9,95.0,95.4,95.3,95.9,95.7,96.2
2016,95.8,95.8,96.1,96.4,96.5,96.9,97.1,97.7,98.0,97.9,98.6,98.6
2017,98.8,98.9,99.5,99.4,99.6,100.0,100.2,100.2,100.4,100.8,101.2,101.3
2018,101.7,101.9,102.0,102.2,102.3,102.4,102.4,102.5,102.6,102.4,102.3,102.4
2019,102.5,102.8,103.1,103.2,103.3,103.6,103.8,103.9,103.7,104.4,104.1,104.5
2020,105.4,105.5,104.4,99.3,99.6,100.7,101.2,102.0,102.5,102.9,103.2,103.5
2021,103.3,103.4,103.6,104.1,104.0,103.7,103.9,104.1,104.2,104.9,105.6,105.3
2022,105.3,105.4,105.7,105.4,105.4,105.3,105.3,105.2,105.2,104.0,102.8,103.4
2023,104.0,104.0,103.9,103.1,103.4,103.6,103.5,103.6,103.5,103.0,102.3,101.5
2024,101.9,101.4,101.8,101.8,102.8,103.6(P),,,,,,
