Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,31.7,31.9,32.2,32.3,31.6,31.8,32.2,32.4,32.5,32.5,32.7,32.7
2015,32.1,32.4,32.5,32.7,32.5,32.7,33.5,33.9,33.4,32.9,33.2,33.4
2016,32.7,33.2,33.3,33.2,33.6,33.5,33.3,33.7,34.6,34.1,34.1,33.8
2017,33.6,34.1,33.8,35.0,34.5,34.5,34.2,34.5,34.6,34.1,34.2,33.7
2018,33.7,34.1,34.4,34.3,34.0,34.1,34.5,34.4,34.0,34.6,35.1,34.8
2019,34.4,34.3,34.1,34.6,35.4,35.3,35.1,35.5,35.0,35.5,36.6,35.4
2020,34.6,35.3,34.6,31.9,31.9,31.9,32.3,32.9,33.2,33.6,33.8,33.6
2021,33.2,34.1,33.9,34.2,34.9,35.5,35.6,35.4,35.7,36.2,36.3,36.2
2022,36.1,36.3,36.6,37.1,37.1,37.2,37.5,37.3,37.1,36.7,36.4,36.4
2023,37.2,37.3,37.0,36.9,36.5,36.6,36.6,36.3,36.0,34.9,34.0,34.1
2024,33.4,33.4,33.4,33.1,34.2,34.3(P),,,,,,
