Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,7.3,7.3,7.2,7.2,7.1,7.1,7.2,7.2,7.1,7.1,7.2,7.2
2015,7.3,7.2,7.3,7.2,7.3,7.2,7.2,7.0,7.1,7.3,7.1,7.2
2016,7.2,7.2,7.2,7.2,7.2,7.1,7.1,7.1,7.1,7.1,7.0,6.9
2017,6.8,6.9,6.8,7.0,6.9,7.0,7.1,7.1,7.0,7.1,7.2,7.2
2018,7.2,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.2,7.3,7.2,7.1
2019,7.1,7.0,6.9,7.0,7.0,6.9,6.9,6.9,6.9,6.9,6.8,6.7
2020,6.7,6.7,6.7,6.4,6.4,6.5,6.5,6.6,6.5,6.6,6.7,6.6
2021,6.7,6.7,6.7,6.7,6.6,6.6,6.6,6.5,6.5,6.5,6.4,6.3
2022,6.4,6.4,6.4,6.3,6.2,6.2,6.2,6.2,6.2,6.0,5.9,6.0
2023,6.0,6.0,5.9,5.9,6.0,6.0,6.2,6.2,6.1,6.1,6.1,6.3
2024,6.2,6.3,6.3,6.3,6.3,6.2(P),,,,,,
