Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,249.3,248.9,250.6,250.7,251.2,252.3,253.0,253.1,254.6,255.8,256.7,258.0
2015,258.2,259.8,260.0,261.6,262.7,264.1,264.4,265.5,266.3,268.4,270.0,270.3
2016,270.5,272.1,272.7,273.3,273.6,274.2,275.5,276.9,278.0,279.7,280.7,280.7
2017,278.1,281.6,283.5,282.0,284.5,284.5,284.6,285.4,285.8,284.4,285.3,286.0
2018,304.2,304.1,305.6,305.2,305.6,305.6,305.0,305.8,306.1,307.0,307.1,307.1
2019,309.2,309.8,310.1,312.0,310.5,309.5,311.8,313.3,314.2,314.7,315.0,315.0
2020,315.2,315.2,313.2,275.5,280.4,288.3,293.1,294.7,295.3,296.5,297.4,297.2
2021,296.1,296.7,298.4,299.2,299.1,300.2,300.9,300.9,299.3,299.4,299.8,300.3
2022,299.3,300.2,301.0,300.8,302.3,302.3,304.3,305.3,306.4,307.0,308.1,309.6
2023,312.8,313.9,314.6,316.8,319.2,319.3,320.2,321.9,323.5,321.8,324.8,326.6
2024,327.7,329.4,330.1,331.5,333.5,334.2(P),,,,,,
