Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,215.8,216.1,217.5,218.3,219.0,220.5,220.8,221.8,223.6,223.4,224.2,225.0
2015,225.1,225.7,226.1,227.1,228.6,229.5,230.2,231.0,232.3,233.8,234.6,235.6
2016,236.4,237.4,238.1,238.8,239.0,239.4,239.9,240.4,240.5,240.7,241.3,241.1
2017,239.9,242.3,242.8,244.0,244.3,246.5,245.5,245.6,246.2,245.8,246.2,246.6
2018,247.7,249.0,249.5,248.3,248.5,249.3,249.4,250.3,251.3,250.8,251.1,251.4
2019,252.2,251.3,251.2,252.9,254.7,255.2,254.8,255.8,256.2,257.7,257.4,257.5
2020,256.9,257.0,253.4,233.3,233.6,236.5,237.7,239.9,239.7,243.5,245.2,246.6
2021,247.7,247.5,248.9,250.1,250.8,250.8,251.4,251.2,251.5,254.7,256.9,258.3
2022,258.7,261.5,262.6,262.9,263.2,263.2,265.0,265.1,265.6,264.7,264.0,264.8
2023,267.5,267.7,267.2,265.5,266.7,266.4,262.5,263.2,264.2,261.4,258.4,259.7
2024,257.4,258.7,260.7,259.3,260.2,258.4(P),,,,,,
