Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1706.5,1704.6,1711.7,1716.8,1719.9,1725.8,1727.6,1731.1,1738.0,1742.5,1748.8,1756.7
2015,1759.6,1766.1,1768.9,1777.3,1783.8,1789.3,1789.1,1795.9,1798.5,1807.1,1810.8,1817.2
2016,1819.8,1828.2,1832.4,1835.7,1837.8,1840.2,1844.8,1848.7,1854.4,1858.3,1864.7,1863.3
2017,1854.2,1870.0,1876.0,1880.9,1884.2,1891.1,1892.8,1894.6,1897.1,1896.5,1899.1,1903.1
2018,1908.5,1912.7,1916.8,1915.7,1920.3,1923.8,1919.9,1923.5,1930.7,1932.2,1935.7,1938.0
2019,1944.4,1938.7,1942.0,1947.9,1950.2,1951.9,1956.1,1960.1,1961.6,1964.7,1967.5,1969.2
2020,1969.8,1968.9,1952.4,1689.8,1708.1,1764.9,1795.8,1814.7,1822.6,1832.5,1836.5,1816.4
2021,1816.1,1826.4,1850.4,1862.5,1864.2,1869.0,1897.2,1897.3,1896.0,1906.6,1911.6,1916.8
2022,1915.8,1926.1,1932.2,1937.2,1937.2,1937.2,1959.3,1962.1,1963.1,1957.0,1955.1,1961.9
2023,1975.6,1976.2,1976.0,1975.5,1980.4,1982.1,1980.6,1982.5,1985.2,1977.5,1973.7,1975.6
2024,1969.9,1972.7,1975.3,1977.7,1981.7,1982.3(P),,,,,,
