Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,323.2,322.5,323.8,324.4,325.1,325.9,326.4,327.2,327.9,329.0,330.4,332.1
2015,331.8,332.7,333.6,334.4,335.5,336.9,337.3,337.7,338.2,338.6,337.9,339.0
2016,338.7,339.7,340.5,340.6,340.9,341.4,342.4,343.5,343.5,343.6,345.4,345.6
2017,346.6,347.9,348.2,348.6,348.5,349.1,349.3,349.3,349.9,349.7,350.1,350.3
2018,351.1,350.4,351.0,351.1,352.2,352.4,351.9,353.2,354.2,355.0,355.9,355.1
2019,356.3,354.8,354.9,355.5,356.0,355.9,357.3,357.9,359.1,358.9,359.4,361.1
2020,360.9,359.9,359.4,323.8,328.8,341.8,347.2,350.6,352.5,355.1,357.2,357.9
2021,359.8,360.2,362.3,360.9,361.0,360.7,360.6,360.1,360.8,363.3,363.8,365.3
2022,364.2,366.4,367.4,368.5,366.7,365.7,367.2,367.6,367.9,366.7,364.4,365.0
2023,366.5,365.6,365.1,365.0,365.2,364.6,364.4,363.5,364.0,363.3,362.7,361.2
2024,358.9,360.1,361.0,361.8,361.0,360.8(P),,,,,,
