Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,315.4,315.6,315.8,315.6,316.2,316.1,316.0,315.8,315.8,315.8,316.1,316.5
2015,315.6,316.2,316.1,316.2,317.0,317.1,317.1,317.5,317.3,317.2,317.4,317.2
2016,317.4,317.3,317.0,317.3,317.2,317.2,317.7,318.1,318.6,318.5,318.7,319.4
2017,319.3,320.3,321.0,321.0,321.1,321.7,322.1,322.3,322.8,322.6,322.5,323.0
2018,323.3,323.9,324.3,325.3,326.0,326.8,327.2,327.5,328.0,328.2,328.6,328.8
2019,329.7,330.0,330.3,330.6,331.3,332.1,331.9,332.0,331.9,332.5,333.3,334.0
2020,334.0,334.2,333.8,322.0,322.7,323.7,324.2,325.1,326.5,326.5,326.3,326.2
2021,327.0,327.8,328.6,328.2,328.0,327.5,328.2,328.7,328.1,330.5,331.2,331.7
2022,331.2,331.9,332.8,333.6,334.1,334.5,335.7,336.8,337.2,337.4,337.5,337.9
2023,339.0,338.8,339.4,339.4,339.1,340.0,339.3,339.1,339.1,340.4,340.9,341.8
2024,342.2,342.4,343.0,342.4,343.1,343.9(P),,,,,,
