Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,36.2,36.3,36.5,37.2,37.4,37.6,38.1,38.5,38.7,38.8,38.9,39.1
2015,39.0,37.5,36.9,35.6,35.0,34.7,33.8,32.9,31.9,30.9,30.0,29.6
2016,28.0,26.9,26.4,25.3,24.7,24.2,23.8,23.8,23.9,24.0,24.1,24.4
2017,24.9,25.5,25.7,26.0,26.5,26.8,27.0,27.2,27.5,27.6,28.0,28.0
2018,27.9,28.0,28.1,28.3,28.4,28.5,28.8,28.9,29.0,29.5,29.6,29.7
2019,29.8,29.8,29.9,29.6,29.5,29.4,29.3,28.9,28.3,27.8,27.2,26.7
2020,26.4,26.1,25.6,23.5,22.9,22.6,22.3,22.1,22.1,22.0,21.8,21.7
2021,21.5,21.5,21.6,21.7,21.7,21.7,21.7,21.8,21.7,21.6,21.9,22.0
2022,21.9,21.9,21.8,21.9,22.1,22.1,22.2,22.4,22.6,22.6,22.8,22.7
2023,23.1,23.2,23.2,23.2,23.1,23.0,22.7,22.6,22.5,22.5,22.7,22.7
2024,23.0,23.0,23.2,23.5,23.4,23.4(P),,,,,,
