Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,252.7,252.5,253.5,252.7,253.2,253.3,253.6,253.9,253.8,253.8,253.9,254.0
2015,253.9,254.3,254.4,253.7,254.4,254.6,254.3,254.7,254.7,255.0,255.6,256.5
2016,256.9,258.0,258.7,259.2,259.0,258.8,259.6,260.0,260.5,261.4,260.7,259.8
2017,260.4,259.9,259.4,259.3,259.7,259.7,259.4,260.1,259.2,259.5,259.7,260.1
2018,260.0,260.0,259.7,260.5,260.6,261.0,261.2,261.4,261.3,261.6,261.3,261.0
2019,261.6,261.0,261.3,261.7,262.1,262.3,262.7,262.6,262.9,262.9,263.2,263.5
2020,264.0,264.7,260.1,165.7,178.2,197.8,217.4,220.6,226.5,231.7,231.8,227.6
2021,229.2,229.9,231.3,232.7,233.9,234.7,236.8,238.3,239.7,241.0,242.6,244.2
2022,245.6,247.0,247.9,248.8,249.3,250.3,251.5,252.4,253.7,254.7,254.9,255.1
2023,255.2,255.7,256.6,256.6,257.0,257.1,257.4,257.6,257.6,259.5,261.1,259.1
2024,261.1,260.2,259.9,261.2,262.0,263.4(P),,,,,,
