Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1171.5,1169.5,1174.4,1178.5,1180.9,1181.1,1182.2,1183.0,1185.6,1186.6,1188.6,1188.6
2015,1187.0,1186.1,1185.5,1188.5,1190.3,1191.2,1191.6,1192.8,1193.3,1197.6,1199.1,1201.4
2016,1206.0,1208.3,1210.7,1215.0,1217.7,1214.3,1221.8,1222.2,1226.7,1226.1,1227.5,1229.5
2017,1234.2,1237.0,1238.5,1238.5,1242.4,1241.1,1246.8,1245.7,1252.4,1253.5,1256.9,1262.3
2018,1261.9,1266.8,1267.5,1269.5,1270.5,1273.7,1274.8,1278.2,1281.0,1284.6,1284.9,1286.4
2019,1288.5,1289.5,1293.6,1293.2,1293.0,1291.5,1292.1,1298.4,1298.8,1302.1,1304.5,1305.0
2020,1304.5,1308.6,1302.0,1145.3,1165.7,1202.6,1212.3,1224.8,1223.1,1224.3,1222.5,1207.7
2021,1210.7,1214.8,1229.4,1229.1,1232.9,1232.2,1229.7,1231.1,1222.8,1233.6,1237.5,1241.1
2022,1235.6,1241.9,1246.5,1251.3,1259.3,1254.8,1266.2,1268.6,1271.9,1274.6,1278.1,1283.2
2023,1290.4,1293.8,1299.5,1300.6,1304.2,1311.7,1316.0,1320.9,1323.7,1333.3,1340.2,1342.1
2024,1348.8,1352.2,1354.6,1357.8,1364.0,1372.3(P),,,,,,
