Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,753.9,755.5,757.5,760.9,763.3,764.6,765.7,768.9,768.7,768.9,773.8,775.8
2015,774.3,775.6,774.5,775.6,779.1,780.7,782.8,784.8,784.6,791.4,794.3,797.4
2016,791.1,792.3,794.6,796.2,795.1,793.9,798.9,798.1,802.7,801.1,800.2,800.8
2017,802.3,800.2,800.9,800.8,802.1,802.0,802.3,803.6,806.2,803.5,803.1,803.1
2018,803.4,804.1,804.4,805.6,806.3,807.5,807.7,807.4,808.9,808.3,807.5,806.4
2019,808.2,810.7,809.0,814.0,815.5,814.5,818.1,820.0,820.2,817.6,818.1,816.4
2020,814.7,812.8,810.7,720.9,736.3,747.9,754.2,759.2,762.0,770.7,776.5,780.8
2021,784.8,787.8,791.0,792.5,796.0,797.7,803.2,805.9,805.7,816.8,822.2,826.6
2022,828.0,834.5,840.0,839.8,842.5,844.0,845.9,846.6,847.6,846.7,844.6,843.9
2023,844.5,842.8,844.8,842.4,842.8,841.5,840.4,840.1,841.9,837.3,837.1,837.9
2024,836.1,835.2,838.1,832.9,835.6,838.2(P),,,,,,
