Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,5753.4,5746.9,5760.1,5776.5,5786.1,5791.0,5789.6,5797.9,5804.1,5809.2,5817.8,5825.8
2015,5812.5,5812.1,5805.0,5818.0,5834.1,5840.2,5836.8,5845.6,5845.2,5848.3,5855.2,5860.8
2016,5854.9,5860.1,5872.9,5876.0,5871.2,5867.3,5890.9,5888.8,5903.4,5901.6,5901.3,5903.5
2017,5915.0,5921.1,5916.0,5927.1,5934.9,5936.2,5943.1,5947.4,5962.0,5960.8,5966.8,5975.8
2018,5975.3,5988.2,5989.7,5997.4,6003.0,6012.0,6012.2,6017.3,6029.1,6035.8,6035.8,6036.2
2019,6045.0,6043.4,6052.0,6058.8,6060.6,6060.0,6067.6,6082.6,6079.9,6079.1,6084.0,6084.5
2020,6090.2,6086.2,6040.1,4960.7,5161.7,5373.7,5499.8,5553.1,5606.0,5643.3,5643.3,5603.7
2021,5639.7,5656.3,5699.3,5701.0,5720.9,5740.9,5779.9,5794.8,5791.7,5844.0,5867.0,5891.3
2022,5892.0,5929.8,5949.8,5963.5,5975.0,5973.5,6006.7,6013.5,6023.8,6023.1,6024.1,6034.3
2023,6059.8,6060.7,6070.7,6068.5,6070.6,6085.8,6086.0,6097.4,6102.3,6106.9,6114.7,6115.1
2024,6125.9,6133.6,6146.9,6147.9,6168.3,6183.9(P),,,,,,
