Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1093.9,1092.4,1096.8,1099.3,1101.2,1104.7,1103.2,1105.3,1107.1,1107.6,1110.1,1112.3
2015,1109.8,1107.2,1109.2,1110.7,1114.3,1117.6,1115.5,1117.2,1116.1,1114.5,1115.8,1117.0
2016,1115.0,1115.4,1118.2,1117.8,1118.8,1117.8,1120.4,1119.7,1120.3,1120.9,1119.5,1120.4
2017,1119.9,1118.9,1114.6,1117.4,1115.3,1116.0,1116.8,1118.7,1121.7,1119.3,1119.6,1119.4
2018,1119.9,1122.5,1122.7,1123.7,1125.0,1127.4,1126.4,1125.2,1126.7,1123.9,1124.3,1122.4
2019,1124.6,1119.5,1120.2,1120.9,1120.9,1121.6,1123.4,1125.3,1125.8,1126.1,1126.3,1128.1
2020,1122.1,1121.9,1119.1,921.0,971.8,1027.7,1052.3,1059.7,1071.4,1081.0,1078.2,1084.4
2021,1092.0,1091.4,1094.6,1087.6,1090.1,1095.5,1101.6,1104.1,1106.8,1114.2,1119.9,1127.0
2022,1128.7,1140.9,1140.9,1143.3,1140.8,1140.4,1146.7,1148.3,1147.4,1143.9,1140.3,1140.4
2023,1144.1,1142.6,1143.6,1143.7,1144.9,1145.6,1143.2,1143.6,1145.7,1140.0,1138.6,1135.8
2024,1134.6,1135.5,1139.1,1142.1,1141.2,1139.9(P),,,,,,
