Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,28.0,27.8,28.0,27.7,27.7,27.7,27.4,27.3,27.3,27.5,27.7,26.8
2015,26.9,26.8,26.7,25.9,25.8,25.4,24.9,24.3,24.3,24.6,24.6,24.2
2016,23.7,23.5,23.6,23.5,23.3,23.2,23.2,23.1,23.0,23.2,23.2,21.9
2017,22.3,22.0,21.5,21.3,21.1,21.0,21.2,21.3,21.0,20.6,23.1,23.4
2018,24.3,24.4,25.2,26.3,26.8,27.3,27.4,27.7,27.6,27.4,27.4,26.1
2019,27.3,27.3,27.4,27.3,27.3,27.2,27.1,27.6,27.2,27.4,27.4,27.4
2020,28.2,28.4,28.0,20.9,23.2,25.3,26.8,27.0,27.5,27.8,27.8,28.4
2021,28.5,28.7,29.0,29.0,28.9,29.1,29.6,29.7,30.3,31.3,31.6,31.4
2022,32.2,32.4,32.8,32.6,32.9,33.1,33.3,33.4,33.9,34.0,34.2,34.9
2023,34.4,34.6,34.9,35.2,35.3,35.3,35.1,35.5,35.7,36.4,36.4,36.1
2024,36.1,36.2,36.1,36.3,36.7,37.3(P),,,,,,
