Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,17.7,17.9,17.9,18.1,18.1,18.1,17.9,17.9,17.9,18.0,17.9,17.9
2015,18.0,18.1,18.0,17.6,17.6,17.5,17.4,17.3,17.3,17.3,17.4,17.5
2016,17.5,17.5,17.4,17.4,17.4,17.4,17.6,17.5,17.7,17.7,17.8,17.6
2017,17.7,17.8,17.9,18.0,18.0,18.0,17.8,17.9,17.6,16.5,16.7,17.2
2018,17.1,17.1,17.0,17.1,17.1,17.1,17.3,17.4,17.4,17.4,17.4,17.4
2019,17.9,17.9,18.0,18.0,18.0,18.0,18.1,18.1,18.2,18.1,18.0,18.1
2020,18.1,18.1,18.0,13.6,14.4,15.2,16.3,16.5,16.6,16.8,16.8,16.9
2021,17.0,17.1,17.2,17.3,17.4,17.4,17.7,17.7,18.0,18.2,18.3,18.4
2022,18.5,18.6,18.7,18.8,18.8,18.9,18.7,18.7,18.8,18.8,18.8,19.1
2023,18.9,18.8,18.9,18.9,18.9,18.8,18.9,19.0,18.9,18.8,19.0,19.0
2024,19.0,19.1,19.1,19.1,19.2,19.2(P),,,,,,
