Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,114.9,113.2,113.3,113.3,113.7,113.0,112.6,111.9,111.9,112.1,112.6,113.8
2015,112.9,113.1,113.0,112.9,113.4,113.1,113.0,113.4,113.3,112.6,112.4,111.6
2016,113.4,112.9,113.5,114.4,114.0,114.8,114.1,114.4,116.1,116.9,116.6,116.8
2017,116.6,116.2,115.9,114.5,115.0,115.1,115.3,115.5,114.5,111.7,117.6,124.7
2018,119.7,122.0,121.5,123.4,123.9,123.9,124.2,124.0,123.8,124.3,123.9,123.8
2019,123.2,123.1,124.2,123.9,124.4,124.3,122.9,124.3,124.5,123.8,124.2,123.8
2020,123.4,124.4,124.1,108.5,109.5,111.5,117.0,118.2,119.2,120.0,120.1,120.0
2021,123.0,123.7,124.9,126.6,127.0,128.7,131.3,132.1,134.0,134.9,135.8,135.0
2022,137.8,138.1,139.6,138.3,138.9,139.8,140.3,140.8,141.8,143.4,144.4,145.4
2023,139.2,139.6,139.9,140.1,140.8,140.9,138.6,140.2,140.0,138.5,139.4,139.4
2024,141.7,140.3,140.6,140.0,140.5,138.1(P),,,,,,
