Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,34.1,34.0,33.9,34.2,34.2,34.3,34.3,34.3,34.3,34.1,34.1,34.2
2015,34.3,34.4,34.5,34.7,34.9,35.0,34.8,34.7,35.1,35.6,35.9,36.1
2016,35.5,35.7,35.7,35.6,35.5,35.5,35.6,35.5,35.5,35.6,35.6,35.7
2017,35.8,35.7,35.7,35.8,35.9,35.9,35.9,36.0,36.0,35.5,35.8,35.7
2018,35.5,35.5,35.5,35.5,35.4,35.3,35.3,35.3,35.3,35.3,35.2,35.1
2019,35.1,35.3,35.2,35.1,35.2,35.4,35.7,35.4,35.4,35.4,35.4,35.5
2020,35.6,35.7,35.4,33.6,33.4,33.4,33.6,33.8,33.7,33.9,33.9,34.0
2021,34.0,33.8,33.9,33.8,33.8,33.9,33.9,34.1,33.9,33.8,34.0,33.9
2022,34.4,34.4,34.4,34.9,35.3,35.1,35.3,35.3,35.2,35.2,35.3,35.1
2023,35.1,35.1,35.3,35.3,35.3,35.3,35.1,35.1,35.2,35.0,35.3,35.2
2024,35.0,34.9,34.9,35.0,35.0,35.3(P),,,,,,
