Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,54.3,54.8,55.0,55.1,55.3,55.0,54.9,55.0,55.3,55.6,55.8,55.7
2015,56.3,55.0,55.4,55.8,57.0,55.9,56.3,56.3,56.8,56.7,56.9,57.1
2016,57.2,56.9,57.6,57.6,57.6,57.8,57.8,57.7,57.9,57.8,57.9,57.8
2017,57.9,57.9,58.0,57.9,58.2,58.6,58.3,58.6,58.2,58.4,58.6,58.6
2018,58.5,58.8,59.0,59.0,59.1,59.2,59.5,59.8,59.2,59.2,59.1,59.3
2019,59.9,59.7,59.5,59.9,60.0,60.1,60.4,60.2,59.9,60.2,60.5,60.6
2020,60.4,61.5,58.1,23.7,28.0,36.1,40.4,43.7,46.6,47.8,47.4,42.1
2021,45.7,47.0,48.6,49.6,50.5,51.4,52.3,52.6,53.1,55.4,55.5,56.0
2022,54.9,56.4,57.1,57.6,57.6,57.3,58.0,58.0,57.6,57.9,58.2,58.0
2023,58.2,58.7,58.7,58.6,58.8,59.4,59.3,59.5,59.8,60.1,60.6,61.6
2024,63.2,60.4,60.5,60.4,59.6,58.4(P),,,,,,
