Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,74.1,74.3,74.3,74.4,74.5,74.6,74.7,74.9,74.9,75.2,75.1,75.6
2015,75.7,75.3,75.4,75.8,75.8,76.1,76.0,76.1,76.3,76.2,76.2,76.3
2016,76.0,76.2,76.2,75.9,75.9,75.8,75.9,76.0,75.8,76.0,76.0,75.9
2017,76.0,76.0,75.9,76.4,76.4,76.2,76.2,76.2,76.3,76.6,76.5,76.5
2018,76.4,76.8,76.6,76.3,76.7,76.8,76.6,76.6,76.8,76.7,76.9,76.9
2019,76.7,76.6,76.2,76.3,76.1,76.2,75.9,76.4,76.6,76.3,76.2,76.6
2020,76.6,76.3,76.3,59.6,61.5,66.5,69.3,70.9,71.4,72.8,73.3,73.3
2021,73.6,73.6,73.9,73.9,74.2,74.3,74.4,74.4,74.7,74.9,75.2,75.2
2022,75.5,76.0,76.1,76.8,76.1,76.5,76.7,76.7,76.8,76.9,77.0,77.1
2023,77.4,77.5,77.4,75.7,77.5,77.4,77.3,77.2,77.6,77.5,77.6,77.3
2024,77.4,77.8,77.5,77.7,77.6,77.2(P),,,,,,
