Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,83.1,83.1,83.3,83.8,84.1,84.2,84.4,85.0,85.1,85.6,86.2,86.8
2015,87.0,87.6,87.9,87.9,88.6,89.3,89.3,89.7,90.4,91.3,92.0,92.9
2016,93.9,94.6,95.7,96.0,96.0,97.0,98.3,99.2,100.1,99.9,100.6,101.1
2017,101.2,101.5,101.5,101.9,102.6,103.1,103.2,99.9,99.7,100.3,100.4,100.9
2018,104.3,105.3,105.6,105.8,106.1,105.9,105.7,105.7,105.6,106.0,106.0,106.0
2019,106.5,106.3,106.5,107.1,106.9,107.0,107.2,107.1,107.5,106.6,106.8,106.7
2020,106.6,106.6,106.4,101.3,102.6,102.5,102.3,102.6,102.6,102.9,103.4,104.1
2021,103.7,103.8,104.4,104.7,104.7,104.4,105.3,105.0,105.3,106.1,106.3,106.6
2022,106.8,107.4,107.7,108.3,108.4,108.7,109.0,109.3,109.8,109.5,109.6,110.0
2023,110.6,110.7,111.3,110.3,110.7,111.4,112.1,112.9,113.4,115.2,116.0,115.3
2024,116.0,115.5,115.1,115.2,116.2,115.7(P),,,,,,
