Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,225.3,224.9,226.3,227.2,227.8,228.3,228.4,228.2,229.0,230.8,230.8,231.5
2015,231.5,232.2,232.1,232.3,232.9,233.6,233.7,234.2,235.1,234.5,234.8,234.6
2016,235.1,234.7,234.7,234.7,235.2,234.8,235.7,235.6,236.4,236.3,237.2,237.8
2017,238.6,239.2,240.2,238.9,239.7,240.6,241.1,241.4,241.9,242.3,243.1,243.8
2018,244.4,245.5,246.1,247.8,249.0,250.6,250.3,250.8,251.3,253.4,254.1,254.9
2019,255.7,255.8,256.7,258.1,258.6,259.1,259.3,259.3,258.7,258.0,257.7,257.4
2020,256.4,255.6,255.1,225.1,230.6,241.9,240.4,243.8,245.0,246.0,246.4,246.8
2021,247.0,247.8,247.9,247.8,247.4,248.4,250.3,249.9,250.0,253.0,254.1,255.8
2022,255.7,258.8,260.1,260.9,261.5,261.6,262.9,263.7,263.7,263.4,263.0,262.8
2023,263.4,262.9,262.8,262.6,263.1,263.9,263.4,263.2,263.6,265.6,264.9,264.6
2024,265.8,265.9,266.2,267.7,268.9,270.3(P),,,,,,
