Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,71.3,71.2,71.7,71.7,72.0,72.0,72.0,72.1,72.4,72.6,72.8,72.8
2015,73.1,73.2,73.4,73.3,73.7,73.7,73.8,73.8,73.8,74.1,74.1,74.4
2016,74.2,74.3,74.1,74.3,74.2,74.3,74.6,74.8,75.3,74.9,75.4,75.5
2017,75.3,75.1,75.4,75.1,75.3,75.3,75.4,75.3,75.3,75.7,75.6,75.8
2018,76.6,77.1,77.1,77.8,77.9,78.3,77.9,77.9,77.6,78.2,78.5,78.2
2019,78.2,78.5,78.7,79.1,79.3,79.4,80.0,80.2,80.5,80.2,80.4,80.4
2020,80.3,80.2,79.6,62.5,67.6,73.4,72.8,73.1,73.6,74.2,74.8,75.4
2021,75.4,75.6,76.1,76.6,76.9,77.2,77.6,77.9,78.4,79.2,79.4,79.7
2022,80.1,80.7,80.8,81.4,81.8,82.3,82.5,82.8,83.3,83.7,83.9,84.3
2023,84.9,85.1,85.9,85.4,85.7,85.9,86.8,87.4,87.5,87.1,88.6,89.3
2024,89.9,89.8,89.9,90.7,91.0,90.3(P),,,,,,
