Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,222.8,222.6,224.0,226.9,226.6,226.9,227.6,228.3,228.9,229.8,230.4,231.1
2015,231.2,231.8,232.2,232.8,233.8,234.5,234.8,235.6,236.0,236.4,237.3,237.9
2016,237.2,237.9,238.9,239.6,240.3,240.5,241.9,242.2,243.9,241.8,242.5,243.3
2017,243.5,244.4,244.9,244.8,245.3,245.9,246.4,246.4,246.8,247.6,247.4,247.9
2018,250.0,250.4,250.8,253.1,253.6,254.7,255.3,255.7,255.6,255.6,255.8,255.9
2019,255.6,256.2,257.4,255.6,256.3,257.2,257.1,258.1,258.5,259.7,260.7,261.1
2020,261.5,261.4,261.4,228.9,236.4,241.3,242.7,244.8,246.0,249.6,251.6,252.7
2021,252.5,253.8,255.7,255.7,255.7,255.1,256.5,256.2,254.5,257.3,258.1,258.5
2022,259.4,260.9,260.4,262.9,264.0,264.3,266.7,267.8,269.1,269.8,270.3,272.1
2023,274.9,275.5,276.8,277.8,279.4,281.5,282.1,284.5,286.1,289.5,290.4,290.3
2024,291.8,293.8,294.8,296.0,296.0,298.1(P),,,,,,
