Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,247.5,246.6,251.7,250.9,252.0,251.3,251.8,252.4,254.0,255.6,258.1,259.6
2015,256.7,256.4,257.2,255.3,259.3,260.4,261.7,263.9,264.4,267.9,265.7,269.6
2016,264.2,265.7,265.3,267.4,267.8,267.4,269.1,269.7,270.1,270.7,271.5,271.9
2017,273.4,274.8,276.1,277.2,278.5,279.5,280.5,280.7,281.9,283.8,285.6,286.2
2018,289.9,291.6,293.4,292.2,292.7,293.9,293.9,294.4,293.6,296.1,295.2,294.7
2019,294.8,294.9,295.9,296.6,297.1,297.3,296.1,296.5,297.6,294.4,295.0,293.8
2020,292.1,290.1,289.0,255.1,261.4,270.4,274.3,281.0,283.6,286.2,287.7,289.7
2021,291.1,292.8,293.5,293.9,294.7,295.8,297.3,298.2,297.3,300.9,301.4,302.2
2022,301.1,304.5,302.7,306.0,307.5,307.7,310.0,310.6,311.4,305.5,306.2,307.1
2023,308.8,308.9,311.2,310.6,311.8,312.5,311.8,313.3,315.1,312.7,314.4,315.7
2024,318.2,315.4,317.9,320.2,322.2,324.8(P),,,,,,
