Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,368.6,368.1,370.2,371.3,372.6,373.5,372.7,373.9,375.3,376.4,378.3,379.2
2015,378.4,379.4,380.4,382.1,383.9,385.5,386.9,388.1,388.2,389.0,389.0,389.0
2016,390.0,391.7,391.4,392.4,393.4,392.9,394.8,395.1,396.3,394.2,395.8,396.8
2017,396.4,396.7,397.1,395.9,395.5,396.0,396.4,396.4,395.5,398.3,398.4,399.7
2018,402.1,403.8,404.3,404.6,404.3,405.2,404.2,405.0,404.1,404.8,406.8,405.6
2019,405.7,405.4,406.6,407.8,408.3,408.8,409.9,410.3,411.3,409.6,409.4,409.6
2020,411.6,409.9,409.3,372.6,383.4,396.7,398.2,404.2,406.0,408.9,410.4,412.5
2021,410.6,411.0,412.0,411.8,413.2,413.0,414.1,414.4,415.7,419.3,421.8,424.4
2022,426.4,434.2,432.0,434.6,434.1,433.4,435.8,436.8,438.6,439.8,439.3,438.8
2023,439.3,439.5,440.1,440.3,440.8,442.6,443.0,443.8,444.5,445.2,442.6,445.1
2024,443.0,446.2,447.8,451.2,449.9,450.1(P),,,,,,
