Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,41.5,41.8,41.8,42.1,42.1,42.1,42.3,42.5,42.6,42.8,42.9,43.1
2015,43.3,43.0,42.8,42.7,42.6,42.5,42.3,42.4,42.6,42.5,42.5,42.5
2016,42.6,42.3,42.4,42.3,42.3,42.2,42.1,42.0,41.9,42.1,42.1,42.2
2017,42.3,42.5,42.5,42.6,42.9,43.1,43.3,43.5,43.6,43.6,43.6,43.9
2018,43.6,43.8,43.9,44.1,44.3,44.4,44.5,44.5,44.8,44.8,44.9,45.1
2019,45.2,45.1,45.3,45.1,45.3,45.1,45.0,45.0,44.7,44.6,44.7,44.4
2020,44.3,44.4,44.4,42.7,42.6,42.3,42.3,42.6,42.6,42.9,43.2,43.3
2021,43.3,43.1,43.4,43.6,43.6,43.9,44.3,44.2,44.2,44.1,44.1,44.4
2022,44.6,44.8,45.0,45.2,45.1,45.2,45.2,45.3,45.2,45.3,45.2,45.3
2023,45.4,45.3,45.5,45.3,45.2,45.3,45.1,45.1,45.4,45.4,45.4,45.7
2024,45.6,45.4,44.9,44.9,44.6,44.3(P),,,,,,
