Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,22.0,21.9,21.8,21.5,22.1,22.3,22.3,22.3,22.4,22.6,22.3,22.7
2015,22.6,22.9,23.3,23.3,23.3,23.1,23.3,23.1,22.9,23.1,23.1,23.2
2016,22.9,23.1,23.3,23.5,23.4,24.4,25.1,24.4,24.2,23.8,23.8,23.5
2017,23.2,23.3,23.2,24.0,23.2,23.2,23.1,23.2,23.3,23.4,23.5,23.8
2018,23.9,23.8,23.9,23.6,24.0,23.8,23.7,23.9,24.1,24.2,24.3,24.2
2019,24.5,24.1,24.0,24.1,24.2,24.5,24.7,24.7,24.9,25.1,25.1,24.9
2020,25.0,25.0,25.0,24.7,25.4,25.1,25.6,25.7,25.6,25.9,25.6,26.1
2021,26.0,25.6,26.3,26.5,26.4,26.4,26.2,26.0,26.3,26.1,26.5,26.8
2022,26.7,27.2,27.0,27.2,27.0,27.2,27.3,27.4,27.5,27.9,27.9,27.8
2023,28.6,28.6,28.7,28.8,29.2,29.4,29.5,29.6,29.9,30.3,30.8,31.8
2024,32.0,32.0,32.0,31.5,31.0,31.0(P),,,,,,
