Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,30.3,30.3,30.1,30.6,30.7,30.7,30.8,30.6,30.7,30.5,30.5,30.5
2015,30.6,30.7,30.7,30.6,30.7,30.7,30.9,30.9,30.9,31.1,31.1,31.2
2016,31.1,31.3,31.1,31.4,31.5,31.5,31.5,31.5,31.5,31.5,31.6,31.5
2017,31.6,31.4,31.6,31.5,31.5,31.5,31.2,31.5,31.6,31.6,31.6,31.8
2018,31.8,32.1,32.3,31.9,32.1,32.2,32.4,32.6,32.6,32.4,32.6,32.5
2019,32.7,32.8,32.8,33.0,33.1,33.1,33.2,33.4,33.5,33.5,33.5,33.4
2020,33.5,33.5,33.6,31.9,32.1,32.3,32.3,32.2,32.5,32.9,33.1,33.5
2021,33.6,33.7,34.0,34.3,34.5,34.6,34.6,34.7,34.8,35.0,35.2,35.4
2022,36.2,36.4,36.6,36.6,36.7,36.5,36.9,37.1,37.4,37.1,37.0,37.0
2023,37.0,37.1,37.2,37.1,37.3,37.6,37.4,37.5,37.6,37.2,37.1,37.4
2024,37.6,37.7,38.1,38.2,37.9,37.9(P),,,,,,
