Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,421.9,421.8,421.4,422.5,422.9,423.2,424.6,424.9,425.4,425.6,424.9,425.9
2015,426.1,426.8,427.3,427.4,428.0,428.1,428.6,428.3,428.6,429.4,430.0,430.6
2016,429.9,430.1,430.7,431.6,431.5,431.8,433.9,432.9,433.4,433.0,433.3,433.0
2017,432.8,432.8,433.1,435.1,433.8,433.9,433.1,434.1,434.4,435.2,434.5,435.3
2018,435.9,436.5,436.8,435.2,437.8,437.6,437.8,438.6,439.0,438.9,438.8,439.4
2019,440.2,439.2,438.7,438.7,439.8,440.1,440.6,441.0,440.8,441.9,442.5,441.8
2020,442.1,443.1,440.2,398.3,404.7,413.9,418.7,425.5,428.9,433.1,432.3,432.4
2021,433.8,433.6,435.5,438.0,439.5,440.5,442.5,442.7,443.4,444.0,445.2,446.7
2022,447.4,449.4,450.6,450.8,451.0,452.0,453.8,454.8,455.2,455.5,456.0,456.1
2023,457.5,458.4,459.4,459.1,460.2,461.9,461.9,463.2,464.1,466.0,467.4,469.6
2024,467.9,469.1,470.0,467.4,468.2,467.7(P),,,,,,
