Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,84.7,84.9,85.0,85.3,85.3,85.5,85.9,86.2,86.1,86.2,86.1,86.5
2015,86.5,86.7,86.8,87.0,87.1,87.2,87.3,87.5,87.4,87.6,87.6,87.8
2016,87.8,87.9,88.1,88.0,88.1,87.9,88.2,88.1,88.0,87.8,87.8,87.7
2017,87.4,87.4,87.3,87.4,87.0,86.9,86.8,86.8,87.0,87.1,86.8,86.9
2018,86.6,86.7,86.5,86.2,86.6,86.4,86.5,86.5,86.7,86.6,86.5,86.4
2019,86.6,86.1,85.8,85.7,86.1,86.0,86.1,85.9,85.5,85.5,85.6,85.5
2020,85.9,85.8,85.7,78.7,80.4,82.5,83.4,84.1,84.7,85.1,85.2,85.9
2021,85.6,85.9,86.3,86.5,86.8,87.1,87.1,87.2,87.2,87.4,87.9,88.1
2022,88.0,88.7,88.9,88.6,88.5,88.9,89.2,89.6,89.8,90.0,90.2,90.1
2023,90.4,90.6,90.7,91.1,91.5,91.7,92.0,92.1,92.5,92.4,92.4,92.8
2024,91.4,91.7,92.2,91.4,91.9,92.3(P),,,,,,
