Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,149.7,150.4,151.2,151.8,152.1,152.2,152.5,152.7,153.3,153.5,153.8,154.2
2015,154.6,155.1,155.1,155.2,155.5,156.2,156.5,156.9,157.2,157.9,158.6,159.3
2016,159.0,159.5,159.8,160.7,161.4,161.6,162.4,163.0,164.1,163.6,164.0,164.6
2017,165.1,165.8,166.7,167.3,167.9,168.9,169.1,169.8,170.3,171.7,171.2,171.7
2018,172.2,173.1,173.9,174.2,174.4,175.0,175.2,175.5,176.2,175.2,175.8,175.8
2019,177.2,177.3,177.5,177.8,178.0,178.5,178.4,178.5,178.7,177.9,179.1,179.2
2020,179.4,179.6,179.0,172.8,172.4,173.1,173.1,173.6,173.9,174.3,174.8,175.0
2021,175.0,175.2,175.6,174.9,176.0,176.2,176.7,177.3,176.4,177.9,178.5,178.9
2022,179.8,180.5,180.6,181.7,182.4,182.7,184.7,185.0,185.5,185.4,185.9,186.7
2023,185.5,186.2,187.1,187.9,188.4,189.2,184.4,183.2,183.7,183.6,184.3,184.2
2024,182.5,182.2,182.9,182.6,182.7,182.6(P),,,,,,
