Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,422.6,423.2,423.7,423.7,423.4,422.8,424.6,424.5,424.8,424.0,426.1,425.9
2015,425.1,424.3,423.4,424.1,424.6,424.3,424.4,424.2,426.6,427.2,425.2,425.3
2016,425.9,426.0,429.7,425.6,425.3,425.7,426.7,429.5,429.9,429.7,430.9,430.4
2017,428.2,429.6,429.3,430.0,429.7,429.9,431.3,430.8,432.6,431.4,430.1,431.8
2018,432.8,432.7,433.0,435.9,437.1,432.2,436.5,437.3,436.5,437.9,439.3,439.0
2019,437.6,438.2,438.5,437.9,438.2,427.5,437.9,439.2,439.5,438.9,438.4,439.3
2020,442.4,443.5,444.3,429.2,422.8,428.3,423.2,433.2,432.2,432.3,430.7,431.4
2021,428.0,429.5,429.3,430.3,429.8,438.7,430.9,432.1,433.0,432.6,431.3,432.9
2022,433.0,432.8,433.4,434.4,436.2,439.9,437.4,438.6,438.4,439.2,440.8,442.0
2023,443.2,444.9,445.4,446.4,449.8,450.1,442.2,440.6,441.3,441.8,442.9,445.0
2024,444.4,446.4,447.6,447.9,446.6,447.0(P),,,,,,
