Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,44.3,44.2,44.4,44.5,44.3,43.9,44.4,44.3,44.3,44.0,44.0,44.0
2015,44.1,44.0,44.2,44.3,44.6,44.5,45.0,45.2,45.1,45.1,45.4,45.8
2016,45.7,45.9,45.4,45.7,45.5,45.9,45.3,45.2,46.0,45.6,46.0,45.6
2017,45.9,46.3,46.2,45.6,46.2,46.6,46.0,46.1,46.0,46.5,47.1,46.1
2018,46.1,45.8,46.1,46.0,45.7,46.4,44.5,44.7,45.1,44.5,44.4,44.4
2019,44.7,44.6,44.9,45.3,45.4,45.5,46.1,46.0,45.9,46.5,46.5,46.1
2020,45.7,45.8,45.7,41.9,42.1,40.9,42.0,42.3,43.2,43.0,43.3,44.0
2021,43.9,44.4,44.6,45.2,45.9,45.7,48.0,49.2,49.1,49.4,50.3,50.6
2022,51.4,52.0,53.1,53.8,54.2,53.5,55.0,56.6,56.0,56.0,56.1,56.1
2023,57.1,56.9,56.6,55.3,55.7,55.9,54.7,54.6,54.5,54.2,54.0,54.9
2024,55.0,54.7,55.0,54.8,54.2,54.0(P),,,,,,
