Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,290.5,291.2,293.5,294.3,295.9,296.9,297.9,298.7,300.0,299.5,300.8,301.3
2015,302.1,303.1,301.7,305.4,308.2,308.4,308.4,309.4,310.9,311.9,313.4,314.5
2016,315.2,315.7,316.9,318.1,318.0,319.4,320.5,320.5,322.6,322.5,323.1,324.6
2017,325.8,327.1,327.4,327.6,328.0,328.9,328.7,329.8,330.2,331.8,332.6,333.3
2018,332.8,334.5,336.0,335.5,337.1,337.6,338.6,339.5,339.6,341.2,340.9,342.3
2019,344.5,344.8,345.5,346.8,345.3,345.1,346.7,350.4,349.2,349.2,350.2,350.5
2020,352.4,353.0,344.1,217.7,245.4,268.7,279.4,280.9,287.4,296.2,297.3,298.6
2021,298.4,298.9,301.9,302.6,308.1,312.8,323.3,323.5,324.4,324.6,326.2,329.9
2022,331.2,336.8,337.1,339.0,340.2,341.7,346.1,347.6,350.5,350.9,353.6,354.1
2023,356.3,358.7,360.1,360.9,359.9,360.9,363.8,360.7,360.9,359.1,360.8,362.1
2024,361.7,362.1,363.8,365.7,367.3,362.6(P),,,,,,
