Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,109.2,109.3,109.7,110.7,111.1,109.8,110.6,111.2,111.2,112.5,113.9,115.0
2015,115.2,115.8,113.7,116.1,116.9,117.2,118.1,117.8,118.8,120.5,119.6,119.7
2016,119.3,118.5,118.7,118.5,117.5,118.4,119.5,119.4,120.4,120.4,120.6,121.4
2017,122.3,124.1,123.6,124.2,124.3,124.4,124.7,125.3,125.2,125.2,125.7,126.1
2018,125.6,126.4,127.3,127.5,127.9,129.4,129.7,130.7,131.7,130.9,131.4,131.4
2019,132.9,132.9,133.2,134.3,134.6,135.6,134.8,134.7,134.8,135.7,135.7,135.8
2020,136.0,135.9,135.3,130.8,132.7,132.6,132.3,133.2,133.9,134.8,136.1,137.1
2021,137.7,137.4,138.6,139.6,138.6,139.5,141.0,141.9,142.3,143.4,144.4,145.2
2022,146.0,147.9,148.8,149.4,150.3,150.7,152.3,153.3,154.7,154.8,155.2,155.7
2023,156.8,157.2,158.1,158.4,158.9,160.8,159.1,158.8,159.1,157.0,156.8,158.3
2024,157.6,159.3,159.5,159.8,157.7,159.8(P),,,,,,
