Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,691.5,693.0,693.9,696.1,697.4,699.0,700.7,702.9,704.7,707.1,709.0,711.0
2015,712.1,713.3,714.1,715.7,717.6,719.1,719.8,720.9,722.7,722.6,724.1,724.9
2016,728.1,729.0,728.4,731.6,733.8,733.0,737.6,739.0,740.7,742.7,745.1,747.4
2017,750.6,751.8,754.4,756.4,758.7,760.4,762.1,762.9,767.0,769.1,768.2,770.3
2018,770.2,772.1,773.5,773.0,775.5,778.1,779.6,781.7,783.3,785.6,786.7,788.2
2019,790.2,792.4,794.4,797.4,799.8,802.1,804.1,806.4,808.4,808.8,811.7,813.5
2020,815.9,818.7,818.6,792.7,794.9,795.9,794.6,797.2,798.6,803.2,806.6,809.4
2021,812.7,813.9,822.0,823.3,825.6,827.6,834.1,837.4,839.1,850.8,854.8,858.6
2022,860.6,863.4,866.6,872.8,876.6,876.3,884.9,888.2,891.1,894.5,894.7,895.0
2023,898.2,899.9,901.5,902.2,903.0,905.2,904.5,905.8,906.1,909.5,909.3,908.4
2024,912.1,914.7,913.5,916.0,920.4,916.9(P),,,,,,
