Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,203.3,203.2,202.8,202.8,201.9,202.4,202.2,201.8,201.9,201.5,201.3,201.5
2015,200.1,199.9,199.6,200.5,201.0,200.9,201.3,201.7,201.5,201.8,202.1,202.4
2016,202.2,202.5,201.5,203.3,203.3,203.3,203.8,203.7,203.6,203.1,203.0,203.1
2017,203.8,203.9,205.4,204.0,203.2,203.1,203.3,203.4,202.8,204.6,204.3,204.9
2018,204.8,204.9,204.9,204.7,205.9,206.1,206.0,205.4,206.4,206.5,206.6,206.6
2019,206.9,208.0,209.3,210.5,211.2,211.5,209.0,211.8,211.6,212.0,212.4,212.5
2020,212.8,212.8,211.2,194.1,193.5,193.7,193.2,193.8,199.1,198.6,197.8,197.8
2021,200.6,201.1,201.9,202.8,204.5,206.5,209.2,210.8,212.4,215.9,215.9,218.2
2022,220.1,221.9,224.2,226.2,228.8,230.0,234.9,234.8,236.0,236.3,237.6,237.0
2023,237.4,237.4,237.2,236.2,235.2,234.2,233.7,233.0,232.2,233.9,233.7,232.4
2024,232.4,233.2,233.3,233.9,234.7,234.5(P),,,,,,
