Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1164.6,1166.4,1176.0,1180.5,1183.5,1189.5,1191.1,1192.3,1198.5,1202.6,1204.8,1210.1
2015,1211.5,1219.0,1220.2,1227.9,1235.2,1240.5,1246.8,1251.2,1257.9,1262.0,1264.0,1267.6
2016,1274.0,1279.5,1281.2,1285.2,1288.0,1289.1,1290.2,1293.6,1298.5,1297.2,1300.5,1301.8
2017,1307.3,1306.1,1314.0,1313.9,1318.3,1321.2,1323.7,1326.0,1318.8,1325.7,1330.0,1334.4
2018,1338.9,1342.1,1349.5,1349.1,1351.4,1355.9,1357.9,1364.6,1361.0,1368.7,1368.1,1375.7
2019,1380.0,1387.3,1388.1,1389.2,1392.4,1392.8,1397.8,1399.7,1403.5,1406.7,1410.5,1414.3
2020,1418.0,1417.9,1382.8,851.9,1000.4,1105.6,1089.0,1113.3,1153.4,1187.5,1204.3,1217.5
2021,1227.3,1212.5,1239.0,1261.6,1279.5,1295.1,1313.7,1322.0,1332.8,1349.8,1354.9,1370.3
2022,1373.0,1377.9,1380.2,1395.0,1401.2,1405.9,1418.2,1425.1,1430.6,1434.9,1440.7,1443.7
2023,1471.3,1472.7,1477.0,1475.2,1476.7,1484.9,1480.8,1484.6,1489.5,1494.9,1487.5,1497.4
2024,1498.2,1507.5,1515.4,1522.0,1526.6,1523.2(P),,,,,,
