Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,875.0,878.5,879.4,884.0,886.9,887.9,889.1,890.6,891.6,895.3,897.9,900.4
2015,899.9,896.0,892.5,888.2,885.0,881.3,877.5,874.4,871.3,866.9,863.9,860.2
2016,860.1,857.5,854.1,850.8,848.0,844.6,845.0,843.6,843.3,841.2,840.6,840.7
2017,842.3,843.6,846.2,847.7,849.7,853.1,854.5,857.0,858.1,859.9,861.4,864.4
2018,864.7,867.9,871.0,873.3,877.7,881.4,884.9,887.4,890.4,894.4,897.0,897.8
2019,901.2,902.6,904.1,905.5,907.0,909.6,910.6,911.2,911.7,907.5,911.3,910.9
2020,910.8,910.2,909.4,854.1,856.9,859.0,852.0,853.4,854.9,857.1,859.0,861.7
2021,862.2,861.4,868.4,865.5,867.6,871.5,875.8,879.5,880.3,890.0,894.4,899.2
2022,900.3,905.7,912.8,919.9,923.7,926.0,932.6,935.5,939.4,940.9,943.4,944.7
2023,948.0,948.6,950.3,951.9,954.5,959.1,956.7,958.6,960.8,960.3,960.4,962.0
2024,966.2,969.5,966.7,970.5,976.5,979.0(P),,,,,,
