Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,297.9,300.7,302.4,306.0,308.5,310.6,313.5,315.2,317.2,319.3,321.2,321.0
2015,315.6,303.3,293.7,282.1,275.6,271.6,266.0,262.2,257.0,251.8,247.2,244.7
2016,235.8,229.9,223.9,217.1,212.6,209.1,206.8,205.4,204.4,204.8,204.7,205.9
2017,209.6,212.7,214.9,218.1,221.2,222.8,224.4,225.2,226.7,227.4,229.4,231.6
2018,232.5,236.0,239.8,242.0,244.8,247.0,248.5,249.7,251.7,253.1,254.7,255.3
2019,254.7,254.4,254.2,254.9,255.0,253.2,250.7,248.4,245.3,242.5,239.5,236.1
2020,235.4,234.5,232.9,207.1,187.9,177.1,171.6,170.3,169.5,170.5,171.1,172.2
2021,174.0,173.9,176.6,178.3,178.8,179.4,181.7,181.7,182.0,184.4,186.7,188.3
2022,188.7,191.4,193.0,196.2,198.6,198.9,202.4,204.0,206.0,207.6,208.3,209.7
2023,211.9,213.7,215.1,213.6,214.3,214.9,214.1,213.9,213.2,211.8,210.1,214.3
2024,208.9,209.2,213.1,209.8,207.4,203.6(P),,,,,,
