Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,407.6,408.6,409.6,411.9,413.5,414.2,414.6,415.2,413.8,416.1,417.4,417.5
2015,416.4,416.4,416.8,417.1,418.2,421.1,424.1,424.6,421.5,422.5,421.7,422.2
2016,423.7,423.5,422.5,421.9,425.8,422.3,423.0,423.6,424.7,424.9,424.9,425.6
2017,425.4,426.4,427.7,428.0,426.6,426.1,424.2,426.2,427.4,428.7,430.0,430.4
2018,430.2,429.5,431.1,433.2,434.6,435.8,435.1,437.6,439.3,443.5,442.3,440.8
2019,442.7,443.5,443.5,444.0,446.0,446.6,447.2,447.3,447.5,446.0,448.3,451.8
2020,451.2,452.7,446.7,339.0,355.7,379.8,378.1,385.0,392.1,395.8,398.4,401.4
2021,404.1,399.6,409.9,411.7,414.3,415.2,419.4,423.7,425.6,429.0,431.5,435.6
2022,435.1,437.6,439.9,444.5,447.5,446.4,453.2,455.1,456.8,459.0,462.4,462.5
2023,465.6,467.2,469.0,467.2,469.7,472.4,473.4,475.1,478.2,478.7,479.6,483.1
2024,487.4,488.3,490.7,492.4,491.9,491.6(P),,,,,,
