Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1502.7,1506.1,1509.5,1513.7,1516.9,1519.1,1520.2,1524.0,1528.0,1534.6,1540.3,1544.1
2015,1550.9,1556.0,1559.7,1567.6,1574.0,1575.7,1579.7,1584.7,1586.9,1591.2,1596.7,1599.9
2016,1603.4,1608.3,1611.0,1613.0,1618.3,1616.2,1628.8,1634.2,1637.3,1640.6,1643.9,1648.1
2017,1658.0,1660.6,1666.3,1665.5,1669.6,1673.2,1664.1,1667.0,1663.5,1667.1,1668.4,1675.2
2018,1680.0,1684.3,1689.5,1689.3,1692.9,1698.5,1700.9,1704.4,1706.8,1710.3,1713.2,1718.4
2019,1717.2,1722.9,1727.8,1730.2,1736.7,1741.3,1744.4,1752.2,1754.9,1755.0,1760.2,1759.9
2020,1771.5,1775.5,1773.6,1596.8,1646.6,1682.3,1677.0,1678.4,1684.1,1697.3,1703.4,1710.0
2021,1713.2,1707.0,1718.9,1724.4,1726.5,1738.4,1747.1,1747.8,1744.8,1757.3,1759.9,1763.5
2022,1763.7,1769.0,1775.2,1787.4,1794.2,1797.8,1814.0,1821.4,1830.6,1835.4,1844.2,1845.6
2023,1861.2,1870.7,1878.7,1879.4,1888.3,1898.0,1889.9,1898.5,1905.9,1913.8,1919.4,1921.7
2024,1926.3,1929.2,1935.0,1942.1,1947.0,1950.9(P),,,,,,
