Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1519.8,1528.2,1539.0,1551.5,1560.6,1564.4,1569.5,1575.7,1581.5,1588.8,1594.1,1599.2
2015,1603.0,1604.4,1603.2,1604.6,1609.8,1611.7,1618.8,1622.8,1624.8,1631.8,1634.3,1639.6
2016,1638.4,1639.5,1638.5,1645.2,1645.5,1641.9,1655.1,1656.1,1661.9,1659.3,1662.0,1663.0
2017,1669.3,1670.1,1679.6,1674.8,1681.2,1687.3,1686.9,1688.1,1701.4,1704.0,1705.3,1706.9
2018,1714.4,1721.4,1730.6,1730.2,1738.7,1750.3,1754.8,1760.9,1763.1,1769.5,1771.8,1778.1
2019,1779.7,1784.6,1783.0,1794.8,1801.0,1807.5,1812.9,1817.3,1819.3,1820.1,1825.9,1826.1
2020,1830.3,1836.4,1831.4,1688.6,1700.7,1720.0,1733.8,1752.9,1755.0,1775.9,1794.9,1809.3
2021,1818.9,1814.2,1846.6,1859.4,1877.8,1892.1,1909.2,1922.9,1938.0,1982.9,1996.9,2009.1
2022,2007.0,2022.5,2035.8,2056.6,2066.3,2070.8,2096.2,2104.7,2107.0,2113.0,2115.6,2115.7
2023,2121.3,2119.2,2120.5,2120.0,2118.5,2123.0,2120.2,2118.2,2116.7,2117.1,2127.3,2122.1
2024,2132.2,2143.8,2141.7,2148.8,2148.9,2144.9(P),,,,,,
