Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,76.1,76.3,77.0,77.5,77.9,78.2,78.6,78.8,79.8,80.7,81.3,81.7
2015,81.9,82.5,82.7,82.7,83.2,84.0,84.8,85.5,86.1,87.0,87.7,89.2
2016,89.3,90.1,90.7,91.5,91.8,91.0,92.0,92.3,92.4,92.7,93.0,93.1
2017,93.6,94.3,95.6,95.6,96.1,97.3,98.1,98.9,99.5,100.4,100.4,101.6
2018,102.9,103.9,103.6,103.8,103.7,104.2,104.3,104.7,105.1,105.0,105.3,105.7
2019,106.3,106.3,106.9,107.5,108.5,109.2,109.9,110.8,111.2,112.2,112.9,113.0
2020,113.3,113.7,113.9,112.0,115.4,115.4,115.1,116.0,116.4,117.3,117.4,119.1
2021,120.2,120.8,121.4,121.8,121.4,121.4,122.7,122.6,123.1,124.1,124.9,126.1
2022,127.3,128.6,129.5,130.1,130.8,130.6,132.1,132.8,133.1,133.3,133.2,132.9
2023,132.2,132.0,131.4,132.2,133.3,134.7,134.8,135.3,136.1,136.9,137.7,137.7
2024,138.5,137.9,138.5,139.4,139.6,140.0(P),,,,,,
