Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,73.9,74.2,74.0,74.3,74.5,74.8,75.6,75.9,76.2,76.7,77.3,77.6
2015,77.9,78.3,78.9,79.0,79.1,79.4,79.7,79.7,79.9,80.1,80.3,80.6
2016,80.9,81.4,81.7,81.8,82.0,82.0,82.6,83.3,83.6,83.8,83.6,83.9
2017,83.9,83.9,83.9,84.2,84.2,84.7,84.6,85.0,85.4,85.8,86.0,86.1
2018,87.4,87.9,87.9,87.8,88.2,88.4,88.4,88.5,88.6,88.2,88.4,88.7
2019,88.8,88.9,89.3,89.9,90.4,90.7,91.4,91.9,92.0,92.3,92.6,92.9
2020,93.4,93.7,93.9,92.0,92.7,93.1,93.2,93.9,94.4,95.3,95.5,96.0
2021,95.7,96.1,96.5,97.6,97.6,97.7,98.3,98.1,98.0,98.7,98.7,98.9
2022,99.2,99.1,98.9,99.2,99.0,99.0,98.9,98.8,99.0,98.4,98.3,98.4
2023,98.6,98.4,98.7,98.2,98.3,98.3,98.0,97.8,98.2,98.0,98.1,98.3
2024,97.6,96.4,97.4,97.7,97.8,97.9(P),,,,,,
