Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,227.5,227.9,227.7,230.8,230.9,231.8,230.9,231.5,230.8,230.6,231.1,231.1
2015,232.0,232.4,232.8,233.2,233.6,233.9,235.1,234.2,234.4,235.4,235.0,235.2
2016,235.2,235.9,236.7,238.1,238.2,240.4,242.0,239.6,241.2,241.4,242.1,242.5
2017,242.8,243.1,243.2,243.3,243.6,243.6,243.9,243.8,244.8,245.3,245.8,246.6
2018,245.7,246.1,246.1,246.2,246.0,247.6,247.8,247.5,249.1,249.1,249.2,249.3
2019,249.4,249.8,250.1,252.5,254.1,250.4,251.3,251.1,252.8,253.1,253.2,253.4
2020,253.4,253.3,253.7,242.4,238.2,237.5,244.6,247.2,246.5,246.7,244.7,246.0
2021,246.1,246.9,248.6,249.5,249.5,249.3,251.5,250.6,250.0,250.1,250.8,250.5
2022,251.2,251.3,251.9,252.3,253.2,253.2,254.1,253.2,254.9,255.8,256.3,257.3
2023,258.4,259.9,260.5,261.8,262.8,265.4,265.8,267.8,268.5,269.1,270.3,270.7
2024,272.0,273.2,273.6,274.0,274.8,275.9(P),,,,,,
