Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,33.1,33.2,33.3,33.0,32.9,33.1,33.1,33.3,33.4,33.4,33.3,33.4
2015,33.4,33.6,33.8,34.1,34.4,34.5,34.6,35.0,35.1,35.5,35.9,36.1
2016,36.3,36.8,36.6,36.9,37.0,37.0,37.6,38.0,37.8,37.8,37.6,38.0
2017,38.7,38.8,38.9,38.7,38.6,38.7,38.0,38.4,38.5,38.9,38.6,38.6
2018,38.1,38.2,38.0,38.2,38.6,38.6,38.8,39.1,38.9,39.2,39.0,38.8
2019,39.0,39.3,39.5,39.8,40.0,40.0,40.2,40.0,40.1,39.7,39.7,39.9
2020,40.4,40.6,40.5,37.4,37.3,37.8,38.2,38.6,39.0,39.2,39.7,39.8
2021,39.8,40.0,40.5,40.7,40.9,41.3,41.5,41.8,42.1,42.7,43.2,43.6
2022,43.6,44.1,45.0,45.0,45.3,45.1,45.4,45.7,45.9,45.9,45.8,45.8
2023,43.5,43.6,43.1,43.0,43.0,43.3,43.1,42.9,42.8,42.6,42.9,43.2
2024,43.1,42.8,42.8,43.1,43.1,43.2(P),,,,,,
