Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,126.1,126.6,126.8,128.3,127.8,127.5,127.8,128.5,129.1,129.7,130.0,130.0
2015,130.9,131.4,132.0,131.7,132.6,133.4,133.9,134.4,134.7,135.2,135.6,135.3
2016,135.9,136.4,136.8,137.6,137.6,138.4,140.0,139.3,139.7,140.6,140.5,140.5
2017,141.0,141.7,142.9,142.4,142.8,143.8,143.0,143.4,143.8,144.1,144.6,145.1
2018,146.4,147.5,147.0,145.9,147.5,148.0,148.8,150.3,150.4,149.8,150.5,151.6
2019,152.0,152.3,153.0,152.7,153.2,153.0,153.7,154.0,154.6,154.9,155.4,155.9
2020,156.4,156.9,152.9,92.0,112.9,123.4,128.2,130.6,133.5,137.0,138.4,137.4
2021,138.7,140.0,142.1,144.8,146.8,149.5,151.0,152.0,152.3,154.1,154.4,155.9
2022,156.7,158.1,159.9,160.6,160.5,161.8,163.2,164.6,165.9,166.5,168.1,168.5
2023,169.8,170.6,170.9,171.7,172.1,171.7,172.2,172.7,173.6,172.9,173.0,171.0
2024,171.7,172.4,172.1,172.1,174.3,174.0(P),,,,,,
