Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,120.0,120.4,120.4,120.6,121.0,121.0,120.7,121.0,121.4,121.1,121.6,121.9
2015,122.7,122.8,123.0,123.4,123.8,124.0,124.1,124.5,124.6,125.3,125.4,125.2
2016,125.1,125.5,125.4,125.5,125.4,125.6,126.6,126.7,127.3,127.6,127.6,128.1
2017,128.6,129.1,129.5,129.5,129.7,129.9,130.0,130.0,130.2,130.5,131.1,131.5
2018,131.7,132.3,132.6,132.8,133.0,133.6,133.8,134.2,134.6,134.9,135.5,136.0
2019,136.4,136.5,136.9,137.1,137.4,137.8,137.8,138.1,138.2,138.4,138.2,138.2
2020,137.6,137.6,137.8,134.1,133.1,135.6,136.1,137.0,137.6,138.5,139.3,140.3
2021,142.0,143.6,144.7,145.1,145.7,146.3,147.4,148.0,148.1,149.1,149.4,149.6
2022,149.8,150.4,151.0,151.2,151.4,151.5,152.4,152.6,152.6,152.5,153.4,152.9
2023,153.2,152.8,152.7,152.8,153.0,153.5,152.7,152.8,153.4,153.3,154.3,154.0
2024,155.6,153.9,154.2,155.2,155.2,154.5(P),,,,,,
