Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,247.5,248.2,248.6,249.0,249.8,251.1,250.7,251.9,252.8,254.0,255.3,255.8
2015,257.5,258.9,259.7,259.6,260.2,260.5,261.7,262.7,263.1,263.6,263.8,264.2
2016,265.1,266.5,268.1,267.9,268.8,269.3,269.6,270.1,271.1,270.2,270.7,271.2
2017,272.2,272.4,273.3,273.7,273.6,274.7,275.7,275.7,276.2,277.5,278.9,279.1
2018,278.5,279.5,280.5,280.4,282.0,283.2,284.8,285.3,286.5,287.4,288.8,288.6
2019,288.7,288.0,288.1,289.1,289.0,289.2,288.9,289.2,289.5,290.0,291.5,290.3
2020,288.3,288.2,287.9,266.1,276.4,283.5,288.0,290.4,293.1,297.4,298.4,300.8
2021,300.6,301.5,301.1,301.5,302.2,303.8,305.4,305.6,304.0,306.1,306.5,307.4
2022,307.9,311.3,311.6,313.6,313.5,313.0,314.3,314.2,313.9,313.2,313.2,313.2
2023,314.2,314.7,315.8,315.0,315.6,316.7,314.7,314.8,316.9,318.2,316.7,315.5
2024,315.1,314.8,316.4,317.6,316.3,316.6(P),,,,,,
