Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,14.6,14.5,14.7,14.3,14.6,14.8,14.8,14.9,14.9,15.1,15.1,15.2
2015,15.0,15.0,15.0,15.0,15.3,15.2,15.1,15.2,15.2,15.2,15.3,15.3
2016,15.2,15.1,15.4,15.4,15.6,15.5,15.4,15.3,15.3,15.2,15.2,15.1
2017,15.3,15.1,15.1,15.2,15.2,15.3,15.2,15.2,15.2,15.2,15.2,15.2
2018,15.2,15.3,15.3,15.2,15.2,15.2,15.2,15.3,15.3,15.4,15.4,15.3
2019,15.4,15.3,15.4,15.2,15.2,15.3,15.3,15.3,15.3,15.3,15.2,15.3
2020,15.5,15.3,15.2,9.5,13.2,14.1,14.4,14.6,14.8,14.9,15.0,15.1
2021,14.9,14.8,14.9,15.2,15.1,15.1,15.2,15.2,15.2,15.4,15.4,15.5
2022,15.5,15.4,15.6,15.6,15.5,15.4,15.5,15.5,15.4,15.4,15.5,15.5
2023,15.8,15.7,15.8,15.8,15.7,15.7,15.8,15.9,15.8,15.6,15.5,15.8
2024,15.9,15.9,15.8,15.7,15.8,15.5(P),,,,,,
