Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,12.1,12.0,11.9,12.1,12.1,12.1,12.1,12.2,12.1,12.2,12.2,12.1
2015,12.1,12.1,11.9,12.0,12.1,12.0,12.0,12.1,11.9,12.1,12.0,11.9
2016,12.0,12.0,11.9,12.0,12.0,12.1,11.9,12.0,11.9,12.0,12.0,12.1
2017,12.0,12.0,12.0,12.0,12.0,12.1,12.0,12.1,12.0,12.1,12.1,12.1
2018,12.0,12.0,12.0,12.0,12.0,12.2,12.3,12.2,12.2,12.2,12.3,12.1
2019,12.3,12.2,12.2,12.2,12.3,12.4,12.3,12.4,12.3,12.3,12.3,12.3
2020,12.3,12.3,12.3,11.7,11.7,11.8,11.7,11.8,11.9,11.8,12.0,11.9
2021,12.0,11.9,11.9,11.9,11.8,11.8,11.7,11.7,11.6,11.9,12.0,11.9
2022,12.0,12.0,12.0,12.1,12.1,12.1,12.1,12.2,12.0,12.2,12.1,12.0
2023,12.0,12.0,12.0,12.0,12.0,12.1,12.0,12.0,12.0,12.0,12.1,12.1
2024,12.2,12.2,12.2,12.2,12.2,12.2(P),,,,,,
