Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,55.7,55.7,55.8,55.9,55.9,56.0,56.1,56.2,56.0,55.9,55.9,55.6
2015,56.4,56.2,56.2,56.2,56.1,56.0,55.8,55.3,55.6,55.7,55.6,55.4
2016,55.9,55.9,56.3,56.0,55.9,55.9,56.1,54.9,56.2,56.1,56.3,55.7
2017,56.2,56.2,56.4,56.3,56.0,56.4,56.3,56.0,56.3,56.4,56.4,56.5
2018,54.9,56.2,56.1,56.3,56.5,56.5,57.2,56.8,56.1,56.5,56.0,56.3
2019,55.7,56.6,56.9,56.7,56.7,57.2,56.5,56.4,56.3,56.2,56.4,56.4
2020,56.0,56.2,55.9,52.0,51.0,52.1,53.3,53.8,52.9,52.8,52.3,52.2
2021,51.7,52.4,52.2,52.4,52.4,52.2,53.0,52.7,52.5,52.8,52.8,53.3
2022,53.4,53.2,53.5,53.3,53.2,53.2,54.6,53.9,54.0,54.0,54.1,53.5
2023,54.8,54.5,54.8,55.0,55.0,55.0,55.5,55.2,55.2,54.9,55.0,55.2
2024,55.6,56.1,56.0,56.2,55.7,55.5(P),,,,,,
