Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,10.1,10.2,10.2,10.1,10.2,10.2,10.3,10.3,10.2,10.2,10.3,10.3
2015,10.3,10.2,10.3,10.3,10.2,10.3,10.3,10.3,10.3,10.4,10.4,10.4
2016,10.4,10.5,10.4,10.5,10.5,10.5,10.4,10.4,10.4,10.3,10.3,10.3
2017,10.2,10.1,10.2,10.1,10.1,10.1,10.0,10.1,10.1,10.1,10.2,10.1
2018,10.2,10.3,10.3,10.3,10.2,10.2,10.3,10.3,10.4,10.3,10.3,10.3
2019,10.3,10.4,10.3,10.3,10.3,10.3,10.2,10.2,10.3,10.2,10.3,10.2
2020,10.3,10.3,10.1,7.9,8.2,8.7,8.9,9.1,9.3,9.3,9.4,9.0
2021,9.1,9.0,9.1,9.4,9.4,9.5,9.7,9.6,9.7,9.6,9.7,9.7
2022,9.7,9.8,9.8,9.8,9.8,9.8,9.9,9.9,9.9,9.8,9.9,9.9
2023,10.1,10.0,10.1,9.9,10.0,10.2,10.0,9.9,9.9,10.1,10.0,10.1
2024,10.2,10.1,10.2,10.3,10.3,10.2(P),,,,,,
