Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,62.3,62.1,62.2,62.1,62.3,62.7,62.5,62.7,62.7,62.8,62.9,62.9
2015,63.3,63.1,63.2,62.9,63.9,63.7,63.7,63.7,63.7,63.8,63.9,64.2
2016,64.0,64.2,64.0,64.6,64.5,64.2,65.0,64.9,64.6,64.8,64.9,65.3
2017,65.2,64.9,65.3,65.2,65.5,66.2,66.0,66.3,66.1,65.8,65.5,66.1
2018,65.9,66.2,66.2,66.5,66.0,66.2,66.3,66.4,66.6,66.5,67.0,66.9
2019,66.6,66.5,67.4,66.3,66.3,65.5,65.2,65.7,65.7,65.7,65.8,65.8
2020,66.1,65.6,65.7,54.1,55.4,58.8,59.1,60.0,61.8,61.6,60.3,59.5
2021,59.5,59.8,60.3,60.5,61.5,61.5,61.6,61.4,60.9,61.9,61.5,61.5
2022,60.9,61.3,61.2,61.4,61.3,61.6,62.3,61.9,61.9,61.9,62.4,61.6
2023,62.3,62.4,62.2,62.3,62.4,63.0,62.5,62.7,63.3,63.4,63.8,63.6
2024,63.4,63.6,63.7,63.9,63.7,64.4(P),,,,,,
