Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,26.5,26.5,26.6,26.3,26.5,26.7,26.6,26.5,26.7,26.7,26.8,27.0
2015,27.1,27.1,26.9,27.3,27.5,27.6,27.5,27.6,27.6,27.8,27.8,27.6
2016,27.6,27.6,27.6,27.8,27.6,27.6,28.1,28.2,28.1,28.0,27.9,28.1
2017,28.1,28.0,28.2,28.6,28.7,28.8,28.6,28.6,28.6,28.7,28.7,28.7
2018,28.8,28.7,28.8,28.7,28.8,29.0,29.6,29.2,29.0,28.9,29.0,29.0
2019,29.1,29.2,29.1,28.8,28.8,29.5,29.5,29.9,29.9,29.9,30.0,30.0
2020,29.8,29.9,29.6,26.5,27.4,27.7,27.8,28.3,28.6,28.8,28.9,28.8
2021,29.2,29.3,29.5,29.7,30.0,29.9,30.5,30.6,30.5,31.0,31.3,31.7
2022,31.7,31.6,31.8,32.0,31.9,32.1,32.0,32.3,32.4,32.6,32.3,32.4
2023,33.0,33.4,33.5,33.2,32.7,33.2,33.2,33.0,33.0,33.1,33.1,32.9
2024,33.6,33.5,33.6,34.2,33.9,34.1(P),,,,,,
